name	type	units	sampling_frequency	status
EEG001	EEG	uV	500	good
EEG002	EEG	uV	500	good
EEG003	EEG	uV	500	good
EEG004	EEG	uV	500	good
EEG005	EEG	uV	500	good
EEG006	EEG	uV	500	good
EEG007	EEG	uV	500	good
EEG008	EEG	uV	500	good
EEG009	EEG	uV	500	good
EEG010	EEG	uV	500	good
EEG011	EEG	uV	500	good
EEG012	EEG	uV	500	good
EEG013	EEG	uV	500	good
EEG014	EEG	uV	500	good
EEG015	EEG	uV	500	good
EEG016	EEG	uV	500	good
EEG017	EEG	uV	500	good
EEG018	EEG	uV	500	good
EEG019	EEG	uV	500	good
EEG020	EEG	uV	500	good
EEG021	EEG	uV	500	good
EEG022	EEG	uV	500	good
EEG023	EEG	uV	500	good
EEG024	EEG	uV	500	good
EEG025	EEG	uV	500	good
EEG026	EEG	uV	500	good
EEG027	EEG	uV	500	good
EEG028	EEG	uV	500	good
EEG029	EEG	uV	500	good
EEG030	EEG	uV	500	good
EEG031	EEG	uV	500	good
EEG032	EEG	uV	500	good
EEG033	EEG	uV	500	good
EEG034	EEG	uV	500	good
EEG035	EEG	uV	500	good
EEG036	EEG	uV	500	good
EEG037	EEG	uV	500	good
EEG038	EEG	uV	500	good
EEG039	EEG	uV	500	good
EEG040	EEG	uV	500	good
EEG041	EEG	uV	500	good
EEG042	EEG	uV	500	good
EEG043	EEG	uV	500	good
EEG044	EEG	uV	500	good
EEG045	EEG	uV	500	good
EEG046	EEG	uV	500	good
EEG047	EEG	uV	500	good
EEG048	EEG	uV	500	good
EEG049	EEG	uV	500	good
EEG050	EEG	uV	500	good
EEG051	EEG	uV	500	good
EEG052	EEG	uV	500	good
EEG053	EEG	uV	500	good
EEG054	EEG	uV	500	good
EEG055	EEG	uV	500	good
EEG056	EEG	uV	500	good
EEG057	EEG	uV	500	good
EEG058	EEG	uV	500	good
EEG059	EEG	uV	500	good
EEG060	EEG	uV	500	good
EEG061	EEG	uV	500	good
EEG062	EEG	uV	500	good
EEG063	EEG	uV	500	good
EEG064	EEG	uV	500	good
EEG065	EEG	uV	500	good
EEG066	EEG	uV	500	good
EEG067	EEG	uV	500	good
EEG068	EEG	uV	500	good
EEG069	EEG	uV	500	good
EEG070	EEG	uV	500	good
EEG071	EEG	uV	500	good
EEG072	EEG	uV	500	good
EEG073	EEG	uV	500	good
EEG074	EEG	uV	500	good
EEG075	EEG	uV	500	good
EEG076	EEG	uV	500	good
EEG077	EEG	uV	500	good
EEG078	EEG	uV	500	good
EEG079	EEG	uV	500	good
EEG080	EEG	uV	500	good
EEG081	EEG	uV	500	good
EEG082	EEG	uV	500	good
EEG083	EEG	uV	500	good
EEG084	EEG	uV	500	good
EEG085	EEG	uV	500	good
EEG086	EEG	uV	500	good
EEG087	EEG	uV	500	good
EEG088	EEG	uV	500	good
EEG089	EEG	uV	500	good
EEG090	EEG	uV	500	good
EEG091	EEG	uV	500	good
EEG092	EEG	uV	500	good
EEG093	EEG	uV	500	good
EEG094	EEG	uV	500	good
EEG095	EEG	uV	500	good
EEG096	EEG	uV	500	good
EEG097	EEG	uV	500	good
EEG098	EEG	uV	500	good
EEG099	EEG	uV	500	good
EEG100	EEG	uV	500	good
EEG101	EEG	uV	500	good
EEG102	EEG	uV	500	good
EEG103	EEG	uV	500	good
EEG104	EEG	uV	500	good
EEG105	EEG	uV	500	good
EEG106	EEG	uV	500	good
EEG107	EEG	uV	500	good
EEG108	EEG	uV	500	good
EEG109	EEG	uV	500	good
EEG110	EEG	uV	500	good
EEG111	EEG	uV	500	good
EEG112	EEG	uV	500	good
EEG113	EEG	uV	500	good
EEG114	EEG	uV	500	good
EEG115	EEG	uV	500	good
EEG116	EEG	uV	500	good
EEG117	EEG	uV	500	good
EEG118	EEG	uV	500	good
EEG119	EEG	uV	500	good
EEG120	EEG	uV	500	good
EEG121	EEG	uV	500	good
EEG122	EEG	uV	500	good
EEG123	EEG	uV	500	good
EEG124	EEG	uV	500	good
EEG125	EEG	uV	500	good
EEG126	EEG	uV	500	good
EEG127	EEG	uV	500	good
EEG128	EEG	uV	500	good
ECG	ECG	mV	500	good
